colorIdentity,convertedManaCost,coloredManaCost,power,toughness,rarity,types,uuid,text,releaseDate
X,0,0,0,2,uncommon,thopter artifact,18bacc5a-3ca0-5b72-bacb-ea98e6036c42,flying,7/13/2007
W,2,1,0,4,common,wall,fadda48c-6226-5ac5-a2b9-e9170d2017cd,defender flying,7/13/2007
W,3,1,1,3,common,cat knight,66993685-84dd-5143-9454-8a4028d10a6a,flying vigilance,7/13/2007
U,4,1,3,2,common,drake,381e8d26-d8ca-5755-ba19-5fba857a7920,flying,7/13/2007
W,1,1,1,1,common,bird,6b754dda-9a6c-5762-ae67-8069101eb4d4,flying,7/13/2007
W,1,1,1,1,common,wolf,94cb0244-f6ae-50c5-ba26-fd3f861c3bb0,firststrike,7/13/2007
W,4,1,3,5,uncommon,wall,fefca4a6-440f-56be-ba90-b8587c55d347,defender flying,7/13/2007
U,3,2,1,5,uncommon,wall,48792ac1-73cf-5a28-bf61-949b5950d881,defender flying,7/13/2007
R,5,2,4,3,uncommon,giant,e3f6afc6-060e-52e1-b537-3dc8039ca113,haste,7/13/2007
G,5,1,5,4,common,wurm,40c181b0-a2d6-54de-ab55-3a09b0b3750b,,7/13/2007
G,6,2,3,4,uncommon,spider,ec55586c-f4ae-5085-a6f0-20200af2ba76,flash reach,7/13/2007
W,2,1,2,1,common,human knight,f4937944-9439-5887-85e0-fc3705243da8,firststrike,7/13/2007
R,4,1,3,2,common,viashino,f7aa8817-24f8-5dbb-a726-353611565ffe,menace,7/13/2007
W,3,1,2,2,common,griffin,75e792c1-d5d9-5712-9462-230fa196f861,flying,7/13/2007
G,1,1,0,3,common,wall,564d110e-2a39-5fcb-967a-bacf3a432799,defender,7/13/2007
W,3,2,1,1,uncommon,cat knight,261c0ce9-13d9-58e2-922b-d4068ff4d743,flying doublestrike,7/13/2007
W,2,2,2,2,common,human rebel,c81dca90-b0cf-5ce8-965c-8dbe5a55cc1b,vigilance,7/13/2007
W,1,1,1,1,common,human soldier,3bdcdf4c-ba45-55e7-b5c8-6e38c0196fe4,banding,12/1/1993
W,2,1,1,1,common,pegasus,d3f06957-c0b5-5a6d-8b15-67be5d75dbce,flying banding,12/1/1993
W,3,1,2,2,common,unicorn,91bd588f-6a5a-5395-91d1-567c011863b4,,12/1/1993
W,1,1,2,1,rare,cat,a89e40e7-ee16-5336-b5ba-1df0e94262a3,,12/1/1993
W,5,2,4,4,uncommon,angel,791b9924-19a7-5ca9-b7a4-fbe31bd04891,flying vigilance,12/1/1993
W,4,1,3,5,uncommon,wall,a1bab558-cae8-588c-b9fe-cfcc8d812b16,defender flying,12/1/1993
U,5,2,4,4,uncommon,elemental,76a706aa-1527-5bb7-97b8-1f1c5cd6f6d6,flying,12/1/1993
U,6,2,5,6,rare,djinn,b25880ad-2b6e-5465-be98-e1cac9c586d7,flying,12/1/1993
U,1,1,1,1,common,merfolk,8dc1d96e-186d-5528-a415-df4d2bb0f004,,12/1/1993
U,4,1,3,3,uncommon,illusion,cd2793e3-a618-5016-b95b-d91738ef4176,flying,12/1/1993
U,3,2,1,5,uncommon,wall,55cab188-2d2a-5dd6-8286-245f6d88372f,defender flying,12/1/1993
U,5,2,5,4,uncommon,elemental,61dadd26-7da2-5cef-85cc-c4bd82056e65,,12/1/1993
B,4,1,3,3,uncommon,wraith,aabd3585-6c1a-52c3-9df6-0e1cfad6505a,swampwalk,12/1/1993
B,3,1,2,2,common,zombie,d37d9e03-1f42-56f1-8f4a-654783644a7d,,12/1/1993
R,5,2,4,5,uncommon,elemental,68efc1ea-c09e-512a-903d-c11eb14dbb32,,12/1/1993
R,5,2,5,4,uncommon,elemental,130fa16f-0b3b-5375-a2cc-d4cbdb5cc3b0,,12/1/1993
R,3,1,2,2,common,ogre,4012dbfb-091e-579c-b5c6-9e0140a62161,,12/1/1993
R,4,1,3,3,common,giant,f47e77e1-c155-5679-9103-36678cff53ab,,12/1/1993
R,3,2,2,3,common,minotaur,c30b21b7-3dbb-5f3c-9adf-4fd298e34896,,12/1/1993
R,1,1,1,1,common,goblin,89294176-0e40-5927-88ae-2d90e7f4a3ef,,12/1/1993
R,4,1,3,3,rare,bird,9484132c-9ea2-5bf8-a74e-f30aac75d93a,flying,12/1/1993
R,3,2,0,8,uncommon,wall,ba04e739-25aa-5144-b8b5-eb1951b86563,defender,12/1/1993
G,6,2,6,4,common,wurm,9de27c8d-38e9-54c0-a044-8ecee973ff5c,,12/1/1993
G,2,1,2,1,rare,elf archer,79bfc07c-2b97-5297-96be-14faf27afeb8,firststrike,12/1/1993
G,4,1,2,4,common,spider,c333d632-3e39-5084-839f-69f0e2f5bb04,reach,12/1/1993
G,2,1,2,2,common,bear,915239d6-ed21-571e-9706-e2010e2e5555,,12/1/1993
G,5,1,3,5,common,treefolk,22f85500-49f1-5ffb-8664-8577b4129192,,12/1/1993
G,1,1,1,1,common,faerie,645f7612-7553-532f-8cce-0d9219799bd3,flying,12/1/1993
G,1,1,1,1,common,nymph dryad,96737ac6-5fae-57e8-b509-4b47a6af302f,forestwalk,12/1/1993
G,1,1,1,1,rare,wolf,3bf1ecea-5c5d-55d5-8141-87293a8b76e3,banding,12/1/1993
G,3,1,0,7,uncommon,wall,669f6c2f-a4e0-52aa-863b-db3b0881ae19,defender,12/1/1993
G,1,1,0,3,common,wall,64661840-ba76-5ac2-8aa3-92ad73fcda7c,defender,12/1/1993
G,4,1,3,3,common,elephant,14ee081e-2a0f-5816-8e3b-a70eb216f97d,trample,12/1/1993
X,6,0,4,6,uncommon,golem artifact,095c3c00-7371-53fa-a776-ce87804176e6,,12/1/1993
W,2,1,1,1,uncommon,human soldier,2ce1ba66-f602-542e-9b66-e802f5b894fb,doublestrike,8/7/2020
W,3,1,2,2,common,dwarf artificer,63b8f929-b55c-555e-a683-be61fd52086e,fabricate1,8/7/2020
U,9,2,7,11,rare,leviathan artifact,5ab32b55-afe5-54d1-817c-baa2c59c95ff,trample islandwalk shroud,8/7/2020
U,5,2,4,4,uncommon,sphinx,9bf3c968-6c02-5b2d-bbab-1651e6da17ff,flying vigilance,8/7/2020
R;W,2,2,1,1,rare,human soldier,174fbff1-7570-5087-86d0-d6a4c700d583,doublestrike vigilance trample,8/7/2020
X,7,0,5,7,common,construct artifact,da3b4163-ec84-50ef-b17e-6f7d2f0b9b0f,fabricate1,8/7/2020
X,4,0,2,2,common,construct artifact,f1ae6bce-ce12-5406-9a67-fb6313c9cf75,haste fabricate1,8/7/2020
W,1,1,1,1,common,human soldier,987fa8b3-99cb-5463-9050-876d3f214252,banding,4/1/1994
W,2,1,1,1,common,pegasus,c522b20e-a7fa-5bbc-9804-6f85793934db,flying banding,4/1/1994
W,3,1,2,2,common,unicorn,ab02a960-afa9-5948-9e7c-2a5d69a4903e,,4/1/1994
W,1,1,2,1,rare,cat,ffebd098-9402-5212-8a47-7bbdcb75ebca,,4/1/1994
W,5,2,4,4,uncommon,angel,a3b41c7c-c5df-5977-ab5b-233e240c64c1,flying vigilance,4/1/1994
W,4,1,3,5,uncommon,wall,9e70092c-afc3-5f82-b418-adb28b313297,defender flying,4/1/1994
U,5,2,4,4,uncommon,elemental,03ecc957-3333-5392-9527-57e2b05a70ff,flying,4/1/1994
U,6,2,5,6,rare,djinn,769de83a-ab55-5e11-ab66-50d926abf34f,flying,4/1/1994
U,1,1,1,1,common,merfolk,708e236c-86a7-539c-bcfa-a815c9d4921b,,4/1/1994
U,4,1,3,3,uncommon,illusion,956d9413-1e92-51f6-9448-31abc8ae5d31,flying,4/1/1994
U,3,2,1,5,uncommon,wall,a77a8367-f349-5c4c-a549-894ad04d7e0e,defender flying,4/1/1994
U,5,2,5,4,uncommon,elemental,306e8d74-e031-52a0-9866-f502677ae565,,4/1/1994
B,4,1,3,3,uncommon,wraith,815dac05-5708-58fe-bebb-7d087ae36af1,swampwalk,4/1/1994
B,3,1,2,2,common,zombie,c5d1ea59-330c-5b8b-8000-2c8896a1a72e,,4/1/1994
R,5,2,4,5,uncommon,elemental,6f862cfb-4713-5d81-acab-f3d6fdd5d799,,4/1/1994
R,5,2,5,4,uncommon,elemental,0ded8fbd-b23d-5f9f-9aa5-6c87a8ff9af9,,4/1/1994
R,3,1,2,2,common,ogre,eb0efe6b-745f-561a-bd5a-608688fd8511,,4/1/1994
R,4,1,3,3,common,giant,14b85842-ed1a-5da1-b9b5-60358a8bd5ef,,4/1/1994
R,3,2,2,3,common,minotaur,47e95f70-a395-56ca-b5b0-e5fe717c1564,,4/1/1994
R,1,1,1,1,common,goblin,c8b56136-5bfd-5047-8ce6-91b0f225cbe2,,4/1/1994
R,4,1,3,3,rare,bird,21bc5d19-8d38-5f23-84c5-e1878fbb334d,flying,4/1/1994
R,3,2,0,8,uncommon,wall,b6fe338c-1dd8-5651-a90e-883e5cbf264e,defender,4/1/1994
G,6,2,6,4,common,wurm,a8fa842a-43fa-54ee-b7eb-f1dd16265b0c,,4/1/1994
G,2,1,2,1,rare,elf archer,9ac3bf77-9427-5bec-b1d9-ffa3e3aa9f85,firststrike,4/1/1994
G,4,1,2,4,common,spider,e27bb928-3d32-588f-8593-75663804c5ed,reach,4/1/1994
G,2,1,2,2,common,bear,df43d236-408d-53ea-bfda-f9b6a8ad3e87,,4/1/1994
G,5,1,3,5,common,treefolk,50b46737-5101-5a1d-885c-facd040827ac,,4/1/1994
G,1,1,1,1,common,faerie,9245f4d5-905e-5345-b320-1d77e4a697d1,flying,4/1/1994
G,1,1,1,1,common,nymph dryad,70d4774d-b73c-51f9-a1f2-c92643db53e6,forestwalk,4/1/1994
G,1,1,1,1,rare,wolf,eb963a2b-d7b3-5125-832c-5b9f1d482224,banding,4/1/1994
G,3,1,0,7,uncommon,wall,1bed9395-0d23-5afd-a84c-79460100f007,defender,4/1/1994
G,1,1,0,3,common,wall,6af02869-c8a5-5d68-b6d1-dad92cb88c15,defender,4/1/1994
G,4,1,3,3,common,elephant,e8114a9b-1c85-51c2-aeb1-9eb1efd07b33,trample,4/1/1994
X,4,0,1,5,rare,spirit artifact,43b65dfc-e397-56b3-bb42-6c1d5b35beb2,flying,4/1/1994
X,6,0,4,6,uncommon,golem artifact,35c810f9-4dee-5026-aa5c-6bfc7de4b5f0,,4/1/1994
X,0,0,0,2,uncommon,thopter artifact,4dc85e90-ba9f-5398-a426-563c93a8a130,flying,4/1/1994
W,1,1,1,1,common,human soldier,21f90eaf-e41a-52de-8d68-6321023f274c,banding,4/1/1995
W,2,1,1,1,common,pegasus,22cff921-70b7-5595-b731-a5cdf0a96552,flying banding,4/1/1995
W,3,1,2,2,common,unicorn,b5b46a70-8251-5cac-abf3-8d07fccec666,,4/1/1995
W,2,1,1,1,common,human soldier,b040b33c-610c-59a5-bd5f-6820fdcc93b8,firststrike banding,4/1/1995
W,1,1,2,1,rare,cat,f120d513-30a2-59f9-b66d-4184967b22df,,4/1/1995
W,5,2,4,4,uncommon,angel,db1a0e4e-f5c0-5f6a-b92d-8d2b823dc6f5,flying vigilance,4/1/1995
W,1,1,1,1,common,wolf,779eb091-3647-5c43-ae69-5d3c0bb6edb4,firststrike,4/1/1995
W,4,1,3,5,uncommon,wall,0aea0fae-2407-5578-8700-789976d60e8a,defender flying,4/1/1995
U,5,2,4,4,uncommon,elemental,5d6139e9-6335-52c8-9ea0-ae20dcf8931e,flying,4/1/1995
U,6,2,5,6,rare,djinn,4cac5363-8e84-5c73-a334-43dd064e45f5,flying,4/1/1995
U,1,1,1,1,common,merfolk,93a401ab-d176-5139-869b-512764fbea68,,4/1/1995
U,4,1,3,3,uncommon,illusion,79a68eab-e635-5128-8f1c-c982064f8741,flying,4/1/1995
U,5,1,3,3,uncommon,leviathan,accf5dee-fc9a-53c8-bb29-069bce865aa8,islandwalk,4/1/1995
U,3,2,1,5,uncommon,wall,a4891d19-0350-576b-8e5e-d9cfab391e15,defender flying,4/1/1995
U,5,2,5,4,uncommon,elemental,f4af88b6-c5c4-5a58-a4fd-2ca648905005,,4/1/1995
U,2,1,1,1,common,bird,e6c57757-7c37-587d-ba87-0b25590096d3,flying vigilance,4/1/1995
B,2,1,1,1,common,imp,4f3dcaf9-41cd-5bfa-b1ca-f748238669fe,flying,4/1/1995
B,4,1,3,3,uncommon,wraith,70821de2-f52c-53fa-8c3e-17d4b8ff5a49,swampwalk,4/1/1995
B,3,2,2,1,common,spirit minion,7c3e842c-7592-5f8c-8368-ddaabbf95d1f,swampwalk,4/1/1995
B,3,1,2,2,common,zombie,2d3d9895-e9e6-5d50-8d31-abbd8a799e4c,,4/1/1995
R,3,1,1,2,common,human bird,0a93584a-12af-5577-a2e6-5ed7efac65f4,flying,4/1/1995
R,5,2,4,5,uncommon,elemental,36b90d08-7061-50a2-9a95-ab535f34fc97,,4/1/1995
R,5,2,5,4,uncommon,elemental,0c55c67c-72dc-54ab-9538-a578a26988b6,,4/1/1995
R,3,1,2,2,common,ogre,5bda1b4f-744f-51ce-8b20-86058f6b9159,,4/1/1995
R,4,1,3,3,common,giant,b7f83549-18d4-5321-b3a6-d959b63d2998,,4/1/1995
R,3,2,2,3,common,minotaur,d4d61512-713d-5aef-a4c7-30c00e4490d9,,4/1/1995
R,1,1,1,1,common,goblin,9866ca3c-2cb9-5b41-982b-7f117d6481b2,,4/1/1995
R,3,2,0,8,uncommon,wall,3b287e89-55f6-553a-bb1f-c03bbadb0a14,defender,4/1/1995
G,4,1,4,5,common,plant wall,2f1b96b6-58fe-598e-a46c-6df99e1bad55,defender,4/1/1995
G,6,2,6,4,common,wurm,45a29889-fe32-5107-8051-a6d4762fa4b6,,4/1/1995
G,5,1,4,4,common,boar,cc02250e-d350-5244-af7c-b59841fbf46d,,4/1/1995
G,2,1,2,1,rare,elf archer,f0bd1376-c6d4-5777-917c-2d3479ba0ca4,firststrike,4/1/1995
G,4,1,2,4,common,spider,8ccf900f-73b3-59b2-b04e-efaf51ecbabb,reach,4/1/1995
G,2,1,2,2,common,bear,da0135cf-7d6e-586b-843c-ea18902b49f8,,4/1/1995
G,5,1,3,5,common,treefolk,6c68823d-d8ca-562f-8baa-5025d4a650fc,,4/1/1995
G,3,2,2,2,common,leech,0b082784-ff31-5b91-8ca9-821542d43dcf,firststrike,4/1/1995
G,1,1,1,1,common,faerie,4c8585f7-adc9-5b06-83a8-c6933cf85c81,flying,4/1/1995
G,1,1,1,1,common,nymph dryad,c6cb45f8-f660-57bd-8284-92b536e87a33,forestwalk,4/1/1995
G,1,1,1,1,rare,wolf,f6c07ac7-ae06-54f3-b736-8295fce6898e,banding,4/1/1995
G,3,1,0,7,uncommon,wall,dfb38ad5-340e-5378-ba07-ecdeb6a49b22,defender,4/1/1995
G,1,1,0,3,common,wall,0af216ad-77bd-58be-8e5d-feffffac259e,defender,4/1/1995
G,4,1,3,3,common,elephant,77f5e7a4-e973-5920-9091-2a9ba0350578,trample,4/1/1995
X,4,0,1,5,rare,spirit artifact,abf63ef6-e547-588a-a17f-e2929b02d8c4,flying,4/1/1995
X,6,0,4,6,uncommon,golem artifact,e4de52b4-ff71-5033-b151-7416948163be,,4/1/1995
X,0,0,0,2,uncommon,thopter artifact,04397662-81b7-51f4-be7f-368d03dc1351,flying,4/1/1995
X,3,0,2,3,common,wall artifact,a00d3e7e-fc34-5052-b82f-3fe021b74870,defender firststrike,4/1/1995
X,3,0,1,4,common,soldier artifact,02bb80f2-427d-5081-a8a5-54a3308203cd,vigilance,4/1/1995
W,1,1,1,1,common,human soldier,364f7d3d-2910-51f4-bf79-916ae5b18413,banding,4/1/1995
W,2,1,1,1,common,pegasus,5da5d6cc-806d-57c9-a491-11cdd76ae321,flying banding,4/1/1995
W,3,1,2,2,common,unicorn,8534ea4c-c654-5c03-a625-3fb1a7035c62,,4/1/1995
W,2,1,1,1,common,human soldier,b9b7d0bf-b500-56b0-a26c-573f6bbbf584,firststrike banding,4/1/1995
W,1,1,2,1,rare,cat,441235a0-79b8-5e5c-95d2-99a24e7dc808,,4/1/1995
W,5,2,4,4,uncommon,angel,ebb16e0f-415a-55e0-92b1-1af287fbf624,flying vigilance,4/1/1995
W,1,1,1,1,common,wolf,873beb7b-4710-563a-8870-60a31aaa01e0,firststrike,4/1/1995
W,4,1,3,5,uncommon,wall,dbfe8903-1451-5f01-ad75-637c202ff8b1,defender flying,4/1/1995
U,5,2,4,4,uncommon,elemental,31100617-7483-5f16-aa37-92e99b633cdc,flying,4/1/1995
U,6,2,5,6,rare,djinn,58d8e5bc-20c5-5cf2-8cd6-a28fd074d270,flying,4/1/1995
U,1,1,1,1,common,merfolk,1e8077ab-1ed7-5c5a-8364-76fb373352d0,,4/1/1995
U,4,1,3,3,uncommon,illusion,3d80c003-4148-5285-a194-dd3a6e26b719,flying,4/1/1995
U,5,1,3,3,uncommon,leviathan,12361900-7922-56b5-9ee9-ae83b66d7a4c,islandwalk,4/1/1995
U,3,2,1,5,uncommon,wall,de5fe448-40c6-509f-9d3b-09303c6a719c,defender flying,4/1/1995
U,5,2,5,4,uncommon,elemental,ec426a99-e659-5117-9e5c-06bd1c55eb33,,4/1/1995
U,2,1,1,1,common,bird,44b88c17-34d1-5dee-b32e-3e6a4b4b8e90,flying vigilance,4/1/1995
B,2,1,1,1,common,imp,2a48b903-2e45-5028-8969-b5f8a3eb9846,flying,4/1/1995
B,4,1,3,3,uncommon,wraith,1ca5c1fe-e999-51eb-8fc5-9f0389f3763b,swampwalk,4/1/1995
B,3,2,2,1,common,spirit minion,db8f1035-781d-5861-be92-e0a6841aef12,swampwalk,4/1/1995
B,3,1,2,2,common,zombie,5c84f582-7aa0-550c-b947-b69c7ec1807a,,4/1/1995
R,3,1,1,2,common,human bird,366ff2f6-17cc-53c0-8a0b-2d1a513e5727,flying,4/1/1995
R,5,2,4,5,uncommon,elemental,d22ec98f-620f-59b3-8d39-4f55827b198b,,4/1/1995
R,5,2,5,4,uncommon,elemental,03c06c2f-77af-59d1-86b5-0bf492f9a4e5,,4/1/1995
R,3,1,2,2,common,ogre,3cffdb63-be36-501e-829c-7f17e8c09d97,,4/1/1995
R,4,1,3,3,common,giant,1523626c-d2bf-5b2c-bf53-99f1e4941640,,4/1/1995
R,3,2,2,3,common,minotaur,a0c74804-2327-5038-9bdc-a8a81c78cd82,,4/1/1995
R,1,1,1,1,common,goblin,56f25954-dca7-57cc-a247-1d35d35e3b8d,,4/1/1995
R,3,2,0,8,uncommon,wall,1785ef81-a71d-5d33-b369-2a8be862e93e,defender,4/1/1995
G,4,1,4,5,common,plant wall,fe18c835-f5bd-5cd9-bfbd-facf3aa8a4b7,defender,4/1/1995
G,6,2,6,4,common,wurm,8347af1e-8f64-5003-a74d-3e112ab50221,,4/1/1995
G,5,1,4,4,common,boar,b59f1588-a572-5e87-b41e-ce835af8fb27,,4/1/1995
G,2,1,2,1,rare,elf archer,e3ee0a16-8ef5-551c-a369-0360b22458fe,firststrike,4/1/1995
G,4,1,2,4,common,spider,9eb550a6-e91d-5e0d-b4ac-4dc671734230,reach,4/1/1995
G,2,1,2,2,common,bear,febce88c-aa1d-59ef-805c-744d594a5e65,,4/1/1995
G,5,1,3,5,common,treefolk,99111c10-232d-5ce1-8e3a-6718f046c28e,,4/1/1995
G,3,2,2,2,common,leech,9d88bc5a-d4e2-5f49-bb0d-3d6d0f6ffe42,firststrike,4/1/1995
G,1,1,1,1,common,faerie,7b1c38d3-9b88-5d52-a838-a52827c35de8,flying,4/1/1995
G,1,1,1,1,common,nymph dryad,8663248b-ff73-55e3-b7cd-656dd990052d,forestwalk,4/1/1995
G,1,1,1,1,rare,wolf,03c7c775-6dbd-5ed3-b193-1d8e1bf8f6ac,banding,4/1/1995
G,3,1,0,7,uncommon,wall,68277e91-0f3e-55ef-944f-1939d3668934,defender,4/1/1995
G,1,1,0,3,common,wall,dd43b149-4801-51be-80d1-0f321f11d013,defender,4/1/1995
G,4,1,3,3,common,elephant,13663ef2-561b-5248-866a-80383456220d,trample,4/1/1995
X,4,0,1,5,rare,spirit artifact,7eec7c4e-ff16-5c62-b075-0f9138c58bc9,flying,4/1/1995
X,6,0,4,6,uncommon,golem artifact,64bcff7d-96c5-5cb2-bde3-dd8adf39cc5d,,4/1/1995
X,0,0,0,2,uncommon,thopter artifact,2fc22d79-502e-5c60-b288-0bd7a61a0e0f,flying,4/1/1995
X,3,0,2,3,common,wall artifact,7dba6348-cce4-5566-9d3d-8c60c62cd2e1,defender firststrike,4/1/1995
X,3,0,1,4,common,soldier artifact,ae84e95a-0c71-5118-ab1b-3b8df60f8c49,vigilance,4/1/1995
W,3,1,1,3,common,cat knight,945cc9b8-ca9d-56e5-a2ff-be9ea72ed104,flying vigilance,6/4/2004
W,3,2,1,1,uncommon,cat knight,8de80063-ab58-518c-a93d-10b64c9b6dd9,flying doublestrike,6/4/2004
B,4,1,5,1,common,zombie crocodile,fdc07f4a-c6b1-597c-a292-be07c5f975e9,,6/4/2004
X,6,0,2,6,uncommon,spider artifact,3a6d1ad1-3c8c-5710-a008-fb1078918689,reach,6/4/2004
X,5,0,0,0,common,fish artifact,0f79cb4f-239f-5818-9033-d1d8355cd23c,sunburst flying,6/4/2004
X,3,0,0,0,common,myr artifact,0957ffa9-88b8-5975-b093-b8b9fd08d2f9,sunburst,6/4/2004
W,1,1,1,1,common,human soldier,d01cdd9a-e8e6-5ec7-a2d6-88d3ac9a52c4,banding,3/24/1997
W,5,1,2,4,uncommon,human soldier,b65f38d0-e877-50f3-b0e9-f974e24041f6,banding,3/24/1997
W,5,1,2,2,uncommon,human soldier,5837d6d8-02a2-5d92-b7e9-9cc17d491774,flying firststrike banding,3/24/1997
W,2,1,1,1,common,pegasus,edd4139a-a117-5867-80d0-51e47bbc9bf6,flying banding,3/24/1997
W,3,1,2,2,common,unicorn,2c3698f3-98fe-5ce1-a715-3b84362fd323,,3/24/1997
W,2,1,1,1,common,human soldier,afb14323-7c78-5ec0-95a1-ebe1ef02766e,firststrike banding,3/24/1997
W,2,1,0,3,common,human soldier,873bc7f0-f09a-5eef-aad0-648abf2c6e5f,banding,3/24/1997
W,1,1,1,1,common,wolf,a9ca1bc8-c255-5638-a92c-9a4f76b60c83,firststrike,3/24/1997
W,4,1,3,5,uncommon,wall,261aa57d-2b30-59ca-9567-3dd034025893,defender flying,3/24/1997
U,5,2,4,4,uncommon,elemental,e59c3a3b-5af3-54da-b83a-b01297c9fe84,flying,3/24/1997
U,4,1,2,4,uncommon,drake,8de483cb-62a5-57f2-9a16-1e84fe8ad918,flying,3/24/1997
U,3,1,0,7,uncommon,wall,a9e77fb8-6089-59e6-b7b2-73ed9a1fa910,defender,3/24/1997
U,1,1,1,1,common,merfolk,9a41517a-5a29-5ef5-890f-727a29087555,,3/24/1997
U,4,1,3,3,uncommon,illusion,c2e14caa-3962-52b8-a6bf-326d36253996,flying,3/24/1997
U,5,1,3,3,uncommon,leviathan,6785fbbb-1af6-53e9-94eb-5ede9ff3b7fe,islandwalk,3/24/1997
U,2,1,1,2,common,merfolk soldier,7134ebd7-5ea2-53eb-b317-cfc7fa320313,,3/24/1997
U,3,2,1,5,uncommon,wall,23b7b5a8-0818-5f31-a7e5-dc623048abca,defender flying,3/24/1997
U,5,1,3,2,uncommon,elemental spirit,5942116c-d792-5840-a414-11960e36a46c,flying menace,3/24/1997
U,2,1,1,1,common,bird,695ba04f-d026-53f2-9a13-75582b1571ad,flying vigilance,3/24/1997
B,2,1,1,1,common,imp,c27ef5a3-6055-5091-8265-f298501f72b3,flying,3/24/1997
B,4,1,3,3,uncommon,wraith,54ddbfb6-731c-59bd-ab87-1fc06e457d08,swampwalk,3/24/1997
B,4,1,3,3,uncommon,wraith,f4db3d68-bf78-54fc-ad6b-c83ec932eff4,swampwalk,3/24/1997
B,3,2,2,1,common,spirit minion,a57aa715-748e-5477-ac27-67fd35f6e362,swampwalk,3/24/1997
B,3,1,2,2,common,zombie,c4112a24-025e-5b8e-8158-ee2e060bb34f,,3/24/1997
R,5,1,3,1,common,human rogue,4dd93006-b5dc-5b49-88d6-d5e2cdf20fe4,firststrike haste,3/24/1997
R,3,1,1,2,common,human bird,31fbdcd4-6220-56ca-8afb-cd3be2e8f8ac,flying,3/24/1997
R,3,1,2,2,common,goblin,9564a162-e44c-503d-995b-a0f873554884,,3/24/1997
R,4,1,3,3,common,giant,804de3d3-4e2a-5442-9324-180368413129,,3/24/1997
